transaction_id,date,customer_id,amount,category,payment_method,description,fraud_risk
TX00037,2025-01-06,CUST0271,27.15,Clothing,Debit,Purchased a slow cooker.,0
TX00038,2025-02-03,CUST0148,61.4,Electronics,Bank Transfer,Received dividend payment from stocks.,0
TX00039,2025-02-07,CUST0047,220.29,Food,Card,Received interest from savings account.,0
TX00040,2025-03-16,CUST0189,52.34,Travel,Wallet,Paid for a cooking class.,0
TX00041,2025-02-16,CUST0010,90.2,Electronics,Wallet,Acquired a set of towels.,0
TX00042,2025-03-18,CUST0114,16.8,Clothing,Bank Transfer,Acquired a set of towels.,0
TX00043,2025-03-21,CUST0201,43.84,Clothing,Bank Transfer,Paid for accounting software.,0
TX00044,2025-02-23,CUST0198,94.88,Education,Debit,Ordered custom prints online.,0
TX00045,2025-02-12,CUST0033,379.94,Education,Bank Transfer,Network maintenance fee.,1
TX00046,2025-02-17,CUST0110,79.79,Electronics,Bank Transfer,Pest control service payment.,0
TX00047,2025-02-24,CUST0189,36.37,Utilities,Wallet,Received revenue from mobile app sales.,0
TX00048,2025-01-13,CUST0102,267.33,Clothing,Debit,Paid for a courier service.,0
TX00049,2025-02-02,CUST0114,35.79,Electronics,Wallet,Booked a pottery class.,0
TX00050,2025-02-23,CUST0093,82.66,Entertainment,Wallet,Purchased concert tickets online.,0
TX00051,2025-03-21,CUST0271,86.3,Utilities,Card,Childcare services for the month.,0
TX00052,2025-01-22,CUST0285,15.88,Entertainment,Debit,Bought kitchen utensils.,0
TX00053,2025-01-11,CUST0069,104.68,Education,Debit,Paid a safe deposit box fee.,0
TX00054,2025-03-10,CUST0246,187.18,Food,Bank Transfer,Pest control service payment.,0
TX00055,2025-02-05,CUST0222,89.67,Utilities,Card,Received an expense reimbursement from employer.,0
TX00056,2025-03-25,CUST0005,356.16,Clothing,Card,Paid for a sound engineering course.,1
TX00057,2025-02-11,CUST0005,100.57,Utilities,Debit,Acquired a set of towels.,0
TX00058,2025-01-11,CUST0133,9.12,Travel,Card,Received a rebate payment for recent purchase.,0
TX00059,2025-01-01,CUST0259,33.12,Travel,Wallet,Customer support software subscription.,1
TX00060,2025-01-08,CUST0238,144.42,Electronics,Bank Transfer,Window cleaning service invoice.,0
TX00061,2025-02-02,CUST0271,288.93,Electronics,Wallet,Cloud storage service renewed.,0
TX00062,2025-01-14,CUST0172,115.46,Utilities,Card,New headphones bought from electronics store.,0
TX00063,2025-01-20,CUST0007,70.18,Entertainment,Bank Transfer,Received income from a service call.,0
TX00064,2025-01-01,CUST0202,31.05,Travel,Wallet,Paid an annual credit card fee.,0
TX00065,2025-01-10,CUST0085,139.78,Food,Card,Bought a portable speaker.,0
TX00066,2025-03-05,CUST0213,47.14,Travel,Wallet,Paid for a design assets library.,0
TX00067,2025-01-31,CUST0168,8.43,Entertainment,Debit,Credit card cash advance.,0
TX00068,2025-02-20,CUST0033,23.21,Electronics,Bank Transfer,Paid for a marketing analytics tool.,0
TX00069,2025-02-04,CUST0205,58.93,Clothing,Card,Accounting software subscription bill.,0
TX00070,2025-03-16,CUST0078,130.71,Food,Card,Water bill paid for the month.,0
TX00071,2025-02-11,CUST0282,63.13,Food,Wallet,Electrical inspection fee.,0
TX00072,2025-03-13,CUST0147,108.83,Clothing,Wallet,Paid a safe deposit box fee.,0
TX00073,2025-02-01,CUST0184,35.26,Food,Debit,Sold handmade soap at local market.,0
TX00074,2025-03-28,CUST0153,26.42,Education,Wallet,Purchased a wireless mouse.,0
TX00075,2025-02-26,CUST0241,48.95,Electronics,Wallet,Settled gas bill for the quarter.,0
TX00076,2025-01-15,CUST0190,308.96,Food,Wallet,Magazine digital subscription paid.,1
TX00077,2025-01-26,CUST0088,1.68,Food,Debit,MasterClass online course subscription.,0
TX00078,2025-02-08,CUST0169,38.13,Entertainment,Card,Ordered a new cookbook.,0
TX00079,2025-02-25,CUST0228,34.37,Food,Bank Transfer,Credit card payment processed.,0
TX00080,2025-03-23,CUST0012,220.73,Travel,Bank Transfer,Investment research platform subscription.,0
TX00081,2025-03-06,CUST0150,0.16,Food,Wallet,Payment for graphic design services rendered.,0
TX00082,2025-02-11,CUST0274,86.34,Education,Bank Transfer,Paid a brokerage commission.,0
TX00083,2025-03-18,CUST0177,53.53,Food,Wallet,Purchased raw materials for production.,0
TX00084,2025-03-07,CUST0116,282.31,Food,Debit,Paid for graphic design software.,0
TX00085,2025-01-19,CUST0026,34.13,Travel,Bank Transfer,House cleaning service rendered.,0
TX00086,2025-02-24,CUST0203,38.49,Food,Card,Bought tickets for a sporting event.,0
TX00087,2025-01-31,CUST0177,14.2,Utilities,Wallet,Amazon Prime annual membership paid.,0
TX00088,2025-01-02,CUST0213,47.02,Electronics,Bank Transfer,Paid for a market research report.,0
TX00089,2025-01-20,CUST0081,51.07,Education,Card,Payment for a photography shoot.,0
TX00090,2025-01-23,CUST0202,77.6,Food,Bank Transfer,Paid monthly electricity bill online.,0
TX00091,2025-03-05,CUST0058,6.29,Travel,Wallet,Snow removal service bill.,0
TX00092,2025-01-06,CUST0257,223.74,Entertainment,Wallet,Income from an online shop.,1
TX00093,2025-01-30,CUST0131,27.77,Clothing,Wallet,Received money from a friend.,0
TX00094,2025-03-24,CUST0003,104.05,Education,Card,Paid for a notary public service.,0
TX00095,2025-03-11,CUST0184,180.51,Clothing,Card,Purchased office kitchen supplies.,1
TX00096,2025-02-07,CUST0017,62.75,Clothing,Debit,Internet service provider bill paid via app.,0
TX00097,2025-02-05,CUST0117,73.62,Travel,Bank Transfer,Purchased a yoga class drop-in.,0
TX00098,2025-03-22,CUST0088,5.12,Food,Bank Transfer,Foreign currency exchange transaction.,0
TX00099,2025-03-12,CUST0182,83.9,Clothing,Card,Bond investment made for retirement.,0
TX00100,2025-03-12,CUST0222,7.9,Travel,Bank Transfer,Paid for a cooking demonstration.,0
TX00101,2025-03-27,CUST0037,201.64,Utilities,Bank Transfer,Purchased a drone for recreational use.,0
TX00102,2025-01-19,CUST0155,35.32,Utilities,Debit,Ski lift ticket bought for day.,0
TX00103,2025-01-24,CUST0295,159.88,Food,Card,Business loan installment paid.,0
TX00104,2025-03-15,CUST0100,193.44,Utilities,Debit,Purchased office kitchen supplies.,0
TX00105,2025-03-02,CUST0207,158.68,Utilities,Card,Deposited cash from side job.,0
TX00106,2025-03-16,CUST0288,21.78,Clothing,Debit,Ordered a new mattress online.,0
TX00107,2025-02-17,CUST0226,78.59,Education,Card,Purchased a camera lens.,0
TX00108,2025-01-08,CUST0150,44.33,Travel,Bank Transfer,Business intelligence software subscription.,0
TX00109,2025-03-24,CUST0031,36.06,Entertainment,Debit,Tutoring session fee paid.,0
TX00110,2025-02-04,CUST0064,57.5,Electronics,Bank Transfer,Paid for condominium fees.,0
TX00111,2025-01-06,CUST0171,91.85,Education,Bank Transfer,Financial news service membership.,0
TX00112,2025-01-10,CUST0233,74.78,Education,Card,Income from selling digital products.,0
TX00113,2025-03-09,CUST0029,88.55,Food,Debit,Design software monthly license.,0
TX00114,2025-01-02,CUST0219,26.06,Utilities,Debit,Bought ergonomic chairs for employees.,0
TX00115,2025-02-25,CUST0275,45.04,Travel,Wallet,Paid for a driving lesson.,0
TX00116,2025-03-02,CUST0088,140.93,Clothing,Debit,Received a bonus payment.,0
TX00117,2025-01-18,CUST0091,9.43,Clothing,Bank Transfer,Booked a hotel room for weekend getaway.,0
TX00118,2025-03-24,CUST0266,118.32,Entertainment,Debit,Paid for a project management tool.,0
TX00119,2025-02-05,CUST0041,18.73,Education,Card,Payment for a commissioned artwork.,0
TX00120,2025-01-02,CUST0280,63.0,Entertainment,Bank Transfer,Bought ergonomic chairs for employees.,0
TX00121,2025-03-11,CUST0169,28.82,Travel,Debit,Paid for condominium fees.,0
TX00122,2025-02-26,CUST0041,52.48,Electronics,Debit,Bought new curtains for living room.,0
TX00123,2025-01-31,CUST0007,3.2,Utilities,Debit,Made an extra principal payment.,0
TX00124,2025-02-27,CUST0171,85.86,Food,Debit,Received rental income for property.,0
TX00125,2025-03-02,CUST0247,37.9,Utilities,Card,Received an expense reimbursement from employer.,0
TX00126,2025-02-27,CUST0022,128.13,Clothing,Bank Transfer,Withdrew cash from ATM machine.,0
TX00127,2025-01-13,CUST0020,221.53,Electronics,Wallet,Online reputation management service.,0
TX00128,2025-02-23,CUST0061,197.48,Entertainment,Wallet,Paid for a chiropractor appointment.,0
TX00129,2025-03-07,CUST0017,97.65,Utilities,Card,Purchased cryptocurrency through exchange.,0
TX00130,2025-02-01,CUST0197,120.52,Utilities,Wallet,Ordered laundry detergent.,1
TX00131,2025-01-19,CUST0127,174.15,Clothing,Card,Landscaping maintenance invoice.,0
TX00132,2025-01-03,CUST0259,66.19,Utilities,Debit,Purchased a yoga mat.,0
TX00133,2025-01-15,CUST0226,133.22,Food,Bank Transfer,Deposited paycheck into checking account.,0
TX00134,2025-02-28,CUST0035,61.5,Education,Card,Received a bonus payment.,0
TX00135,2025-02-16,CUST0298,181.38,Food,Wallet,Website builder subscription.,0
TX00136,2025-01-04,CUST0095,6.96,Clothing,Card,Paid a transaction fee for fund transfer.,0
TX00137,2025-01-15,CUST0003,3.25,Clothing,Card,Invoice paid for marketing campaign.,0
TX00138,2025-03-19,CUST0022,42.92,Utilities,Card,Subscribed to industry publication.,0
TX00139,2025-03-23,CUST0009,105.54,Electronics,Debit,Music production software license.,0
TX00140,2025-02-14,CUST0164,108.83,Education,Wallet,Bought a desk lamp.,0
TX00141,2025-02-19,CUST0083,119.45,Travel,Wallet,Internet service provider bill paid via app.,0
TX00142,2025-01-22,CUST0207,31.53,Electronics,Bank Transfer,Paid for a notary public service.,0
TX00143,2025-02-20,CUST0236,200.11,Electronics,Bank Transfer,Money sent via peer-to-peer app.,0
TX00144,2025-03-13,CUST0090,94.06,Food,Wallet,Bond investment made for retirement.,0
TX00145,2025-03-28,CUST0234,15.11,Clothing,Wallet,Home mortgage payment submitted.,0
TX00146,2025-02-17,CUST0257,44.55,Clothing,Debit,Paid for a new bicycle.,0
TX00147,2025-03-01,CUST0211,132.13,Clothing,Card,Purchased toner cartridges for office.,0
TX00148,2025-01-27,CUST0175,0.05,Travel,Wallet,Received a bonus payment.,0
TX00149,2025-03-18,CUST0076,178.55,Travel,Wallet,Received a rebate payment for recent purchase.,0
TX00150,2025-02-02,CUST0212,89.34,Food,Wallet,Tutoring session fee paid.,0
TX00151,2025-03-09,CUST0042,11.02,Entertainment,Bank Transfer,Income from an online shop.,0
TX00152,2025-03-10,CUST0025,9.27,Utilities,Debit,Paid for a coding bootcamp.,0
TX00153,2025-01-28,CUST0125,63.46,Food,Card,Purchased a virtual reality experience.,0
TX00154,2025-01-15,CUST0030,50.97,Food,Debit,Income from selling stock photos.,0
TX00155,2025-01-07,CUST0088,72.59,Utilities,Bank Transfer,Income from an affiliate marketing program.,0
TX00156,2025-01-22,CUST0039,29.65,Utilities,Debit,Advertising campaign expense for digital ads.,0
TX00157,2025-01-15,CUST0257,47.71,Travel,Wallet,Paid for a personal training session.,0
TX00158,2025-02-01,CUST0150,92.58,Entertainment,Card,Content creation tool subscription.,0
TX00159,2025-02-11,CUST0020,44.7,Food,Card,Paid closing costs for house.,0
TX00160,2025-02-24,CUST0138,19.02,Entertainment,Wallet,Received income from online course sales.,0
TX00161,2025-02-22,CUST0194,20.43,Entertainment,Debit,Fleet vehicle maintenance bill.,0
TX00162,2025-01-26,CUST0024,307.73,Education,Card,SEO audit software subscription.,1
TX00163,2025-02-26,CUST0052,8.65,Food,Debit,Paid for a design assets library.,0
TX00164,2025-01-17,CUST0300,147.92,Travel,Debit,Booked an escape room experience.,1
TX00165,2025-01-25,CUST0059,18.52,Clothing,Card,Withdrew cash from ATM machine.,0
TX00166,2025-02-01,CUST0256,47.06,Food,Wallet,Booked an interior design consultation.,0
TX00167,2025-02-21,CUST0296,76.81,Clothing,Card,Ordered custom prints online.,0
TX00168,2025-03-10,CUST0191,293.71,Entertainment,Debit,Paid for professional development course.,0
TX00169,2025-01-19,CUST0032,13.76,Entertainment,Wallet,Purchased software for project management.,0
TX00170,2025-01-05,CUST0129,422.68,Education,Card,Purchased a yoga mat.,1
TX00171,2025-01-20,CUST0211,175.16,Utilities,Card,Paid an escrow fee.,0
TX00172,2025-03-29,CUST0014,9.01,Clothing,Bank Transfer,Microsoft 365 family subscription.,0
TX00173,2025-04-01,CUST0120,10.88,Electronics,Card,Received payment for a voiceover job.,0
TX00174,2025-02-15,CUST0178,15.77,Food,Debit,Income from a local market stall.,0
TX00175,2025-03-27,CUST0205,90.26,Travel,Wallet,Customer purchased handmade crafts online.,0
TX00176,2025-02-10,CUST0263,59.73,Entertainment,Card,Received a tax credit.,0
TX00177,2025-03-09,CUST0075,13.96,Travel,Card,Income from a speaking engagement.,0
TX00178,2025-02-06,CUST0211,157.66,Clothing,Card,Bought branded stationery.,0
TX00179,2025-01-25,CUST0205,37.5,Entertainment,Card,Bought ergonomic chairs for employees.,0
TX00180,2025-02-08,CUST0056,9.43,Travel,Bank Transfer,Ordered laundry detergent.,1
TX00181,2025-02-19,CUST0066,89.29,Travel,Wallet,Received a refund from online store.,0
TX00182,2025-02-02,CUST0212,49.45,Clothing,Debit,Purchased a slow cooker.,0
TX00183,2025-03-08,CUST0085,86.23,Education,Debit,Homeowners insurance premium due.,0
TX00184,2025-03-26,CUST0254,304.34,Clothing,Wallet,Business insurance premium paid.,1
TX00185,2025-03-09,CUST0031,169.67,Travel,Debit,Paid for a meditation app premium.,0
TX00186,2025-03-26,CUST0078,37.09,Education,Debit,Paid for a gaming service.,0
TX00187,2025-01-08,CUST0154,267.19,Electronics,Bank Transfer,Payment for a photography shoot.,0
TX00188,2025-03-11,CUST0011,31.45,Education,Card,Subscribed to industry publication.,0
TX00189,2025-03-25,CUST0141,124.74,Travel,Wallet,Paid for business software license renewal.,0
TX00190,2025-02-22,CUST0049,120.55,Clothing,Card,Income from selling stock photos.,0
TX00191,2025-03-19,CUST0175,177.69,Electronics,Card,Purchased domain name for new website.,0
TX00192,2025-02-05,CUST0042,311.89,Food,Bank Transfer,Made a student loan payment.,1
TX00193,2025-03-19,CUST0283,534.06,Utilities,Bank Transfer,Customer relationship management software payment.,1
TX00194,2025-02-24,CUST0208,34.14,Utilities,Debit,MasterClass online course subscription.,0
TX00195,2025-01-21,CUST0236,139.75,Entertainment,Bank Transfer,Sold old furniture on Facebook Marketplace.,0
TX00196,2025-03-03,CUST0029,188.44,Education,Wallet,Purchased an audiobook.,0
TX00197,2025-03-20,CUST0239,82.22,Entertainment,Wallet,HVAC system service bill.,0
TX00198,2025-01-02,CUST0007,19.87,Food,Card,Paid for online game credits.,0
TX00199,2025-02-27,CUST0011,49.65,Clothing,Debit,Payment for a photography shoot.,0
TX00200,2025-01-15,CUST0154,96.11,Clothing,Wallet,Received a grant funding for scientific research.,0
TX00201,2025-01-05,CUST0207,0.59,Electronics,Debit,Cloud computing platform usage.,0
TX00202,2025-04-01,CUST0059,53.0,Education,Wallet,Sewer bill paid monthly.,0
TX00203,2025-01-25,CUST0088,100.18,Electronics,Bank Transfer,Received a refund from online store.,0
TX00204,2025-01-18,CUST0023,95.97,Electronics,Wallet,Deposited cash from side job.,0
TX00205,2025-02-03,CUST0006,244.31,Entertainment,Card,Ordered kitchen appliances for home renovation.,0
TX00206,2025-02-08,CUST0066,131.05,Utilities,Debit,Received direct deposit of salary.,0
TX00207,2025-02-11,CUST0287,12.68,Utilities,Wallet,Paid for a dog grooming session.,0
TX00208,2025-01-04,CUST0212,8.42,Utilities,Card,Cash deposit made at bank branch.,0
TX00209,2025-03-28,CUST0143,414.78,Travel,Wallet,Project management tool subscription.,1
TX00210,2025-02-15,CUST0067,109.46,Utilities,Wallet,Paid for a bookkeeping service.,0
TX00211,2025-02-15,CUST0267,182.07,Electronics,Bank Transfer,Company vehicle fuel expenses.,0
TX00212,2025-02-17,CUST0208,15.49,Education,Card,Alimony payment made.,0
TX00213,2025-02-26,CUST0204,25.37,Education,Debit,Purchased new winter coat from online retailer.,0
TX00214,2025-02-01,CUST0017,66.59,Utilities,Bank Transfer,Bought a gift for a friend's birthday.,0
TX00215,2025-01-30,CUST0239,174.64,Utilities,Bank Transfer,HVAC system service bill.,0
TX00216,2025-01-11,CUST0073,37.67,Utilities,Wallet,Purchased a slow cooker.,0
TX00217,2025-02-17,CUST0156,39.0,Electronics,Wallet,Paid off medical debt.,0
TX00218,2025-01-01,CUST0005,77.14,Utilities,Card,Income from a speaking engagement.,0
TX00219,2025-01-15,CUST0284,70.29,Electronics,Debit,Tutoring session fee paid.,0
TX00220,2025-01-09,CUST0012,33.56,Electronics,Debit,Tutoring session fee paid.,0
TX00221,2025-01-07,CUST0038,86.14,Clothing,Card,Design software monthly license.,0
TX00222,2025-01-31,CUST0006,211.28,Education,Debit,Income from renting out equipment.,0
TX00223,2025-03-09,CUST0208,31.47,Utilities,Debit,Credit card payment processed.,0
TX00224,2025-01-03,CUST0221,10.88,Clothing,Bank Transfer,Paid for professional photography for products.,0
TX00225,2025-03-13,CUST0044,163.22,Electronics,Debit,Paid for a haircut and styling.,0
TX00226,2025-03-13,CUST0164,491.69,Utilities,Bank Transfer,Apple Music subscription renewal.,1
TX00227,2025-02-16,CUST0021,69.53,Utilities,Debit,Received an investment return on portfolio.,0
TX00228,2025-03-09,CUST0158,2.72,Travel,Bank Transfer,Paid for a locksmith service.,1
TX00229,2025-02-20,CUST0059,95.46,Electronics,Bank Transfer,Acquired a new smartphone from electronics store.,0
TX00230,2025-01-23,CUST0100,36.26,Food,Bank Transfer,Purchased a small appliance for kitchen.,0
TX00231,2025-03-19,CUST0240,32.64,Electronics,Debit,Phone bill auto-paid.,0
TX00232,2025-01-30,CUST0079,65.2,Clothing,Debit,Paid for a cooking demonstration.,0
TX00233,2025-02-04,CUST0281,20.88,Food,Bank Transfer,Paid for a driving lesson.,0
TX00234,2025-01-15,CUST0177,3.96,Education,Debit,Revenue from product sales.,0
TX00235,2025-01-16,CUST0100,1.38,Entertainment,Bank Transfer,Money sent via peer-to-peer app.,0
TX00236,2025-03-01,CUST0047,207.77,Entertainment,Wallet,Made an equity investment.,0
TX00237,2025-03-02,CUST0048,79.72,Utilities,Bank Transfer,Internet service provider bill paid via app.,0
TX00238,2025-01-25,CUST0182,10.54,Entertainment,Debit,Bought a gift for a friend's birthday.,0
TX00239,2025-01-04,CUST0159,28.22,Entertainment,Debit,New smart watch bought from a tech store.,0
TX00240,2025-01-07,CUST0174,236.98,Clothing,Card,Purchased software for project management.,0
TX00241,2025-01-14,CUST0207,120.66,Travel,Card,Paid for New York Times digital access.,0
TX00242,2025-02-24,CUST0240,3.16,Education,Card,Paid a parking fine.,0
TX00243,2025-03-30,CUST0065,12.04,Electronics,Debit,Ordered take-out pizza for dinner.,0
TX00244,2025-01-10,CUST0186,106.27,Food,Debit,Alimony payment made.,0
TX00245,2025-03-09,CUST0167,119.92,Education,Card,Exchanged foreign currency.,0
TX00246,2025-03-02,CUST0072,64.03,Utilities,Wallet,Paid for a fleet vehicle lease.,0
TX00247,2025-02-04,CUST0282,254.7,Entertainment,Card,Xbox Game Pass monthly charge.,0
TX00248,2025-03-31,CUST0176,143.71,Education,Card,Alimony payment made.,0
TX00249,2025-01-29,CUST0127,196.76,Food,Card,Paid for vehicle maintenance and repairs.,0
TX00250,2025-02-25,CUST0099,23.45,Food,Wallet,Deposited tax refund check.,0
TX00251,2025-02-17,CUST0096,46.9,Entertainment,Debit,Bought a collar for the dog.,0
TX00252,2025-01-22,CUST0215,0.04,Education,Bank Transfer,Marketing agency invoice paid.,0
TX00253,2025-02-12,CUST0096,115.2,Electronics,Debit,Bought weekly groceries at local supermarket.,0
TX00254,2025-01-21,CUST0103,67.54,Travel,Bank Transfer,Productivity app monthly fee.,0
TX00255,2025-01-23,CUST0139,55.03,Entertainment,Debit,Paid for a cooking class.,0
TX00256,2025-01-25,CUST0070,48.3,Food,Debit,Dental check-up payment made.,0
TX00257,2025-01-21,CUST0035,425.2,Clothing,Debit,Paid for accounting software.,1
TX00258,2025-01-31,CUST0213,21.44,Education,Bank Transfer,Paid for a security system installation.,0
TX00259,2025-02-07,CUST0106,93.0,Education,Wallet,Paid for a data analytics platform.,0
TX00260,2025-03-29,CUST0127,7.85,Food,Wallet,Sold a vintage item.,0
TX00261,2025-02-15,CUST0129,55.99,Travel,Wallet,Purchased a personal styling session.,0
TX00262,2025-03-06,CUST0107,109.64,Clothing,Bank Transfer,Bought a standing desk.,0
TX00263,2025-03-08,CUST0137,118.81,Entertainment,Bank Transfer,Paid for data backup service.,0
TX00264,2025-03-21,CUST0227,27.01,Food,Wallet,Paid a loan interest payment.,0
TX00265,2025-02-02,CUST0201,296.22,Education,Card,Made a charitable donation.,0
TX00266,2025-03-14,CUST0087,78.33,Travel,Wallet,Online reputation management service.,0
TX00267,2025-02-11,CUST0279,30.82,Clothing,Card,Annual car insurance premium due.,0
TX00268,2025-01-21,CUST0242,15.37,Electronics,Bank Transfer,Made a student loan payment.,0
TX00269,2025-03-15,CUST0265,65.99,Travel,Bank Transfer,Paid a processing fee for online transaction.,0
TX00270,2025-02-04,CUST0269,143.45,Food,Wallet,Business dinner with potential client.,0
TX00271,2025-03-30,CUST0277,8.28,Education,Bank Transfer,Purchased anti-virus software for company.,0
TX00272,2025-03-03,CUST0101,131.67,Entertainment,Debit,Sold a digital product bundle.,0
TX00273,2025-02-27,CUST0287,62.99,Food,Wallet,Hulu streaming service subscription.,0
TX00274,2025-01-22,CUST0039,6.85,Travel,Card,Paid for a meditation guide.,0
TX00275,2025-03-09,CUST0034,154.64,Education,Card,Medical bill from hospital visit.,0
TX00276,2025-01-01,CUST0091,46.6,Education,Bank Transfer,Withdrew cash from bank counter.,0
TX00277,2025-01-06,CUST0141,79.08,Food,Wallet,Business trip accommodation booked.,0
TX00278,2025-02-04,CUST0149,59.98,Travel,Card,Purchased new computers for employees.,0
TX00279,2025-02-20,CUST0256,225.69,Education,Card,Paid a balance transfer fee.,0
TX00280,2025-02-01,CUST0167,220.77,Utilities,Debit,Adobe Creative Cloud billed for annual plan.,0
TX00281,2025-01-02,CUST0186,6.51,Utilities,Bank Transfer,Consultation fee for legal advice.,0
TX00282,2025-03-18,CUST0034,138.15,Food,Card,Received a grant payment.,0
TX00283,2025-03-14,CUST0274,110.22,Travel,Card,Vehicle lease payment due.,0
TX00284,2025-01-09,CUST0255,24.64,Food,Card,Paid for a chiropractor appointment.,0
TX00285,2025-02-20,CUST0140,48.0,Food,Wallet,Payment for a research project.,0
TX00286,2025-02-23,CUST0062,275.31,Utilities,Bank Transfer,Sold custom jewelry through online shop.,0
TX00287,2025-01-31,CUST0032,42.0,Electronics,Card,Purchased a camera lens.,0
TX00288,2025-02-06,CUST0282,17.59,Utilities,Card,Social media management platform.,0
TX00289,2025-03-20,CUST0043,64.32,Travel,Bank Transfer,Ordered take-out pizza for dinner.,0
TX00290,2025-02-20,CUST0001,179.03,Utilities,Bank Transfer,Purchased a gym day pass.,0
TX00291,2025-03-02,CUST0100,87.22,Travel,Card,Paid for a swimming lesson.,0
TX00292,2025-01-18,CUST0220,404.17,Utilities,Debit,Sold old furniture on Facebook Marketplace.,1
TX00293,2025-03-28,CUST0281,28.72,Entertainment,Bank Transfer,Cloud computing platform usage.,0
TX00294,2025-03-02,CUST0043,99.27,Clothing,Debit,Paid for a cloud backup solution.,0
TX00295,2025-02-26,CUST0070,99.37,Electronics,Bank Transfer,Income from selling custom art.,0
TX00296,2025-02-12,CUST0220,350.13,Entertainment,Card,Paid a balance transfer fee.,1
TX00297,2025-01-07,CUST0198,190.42,Electronics,Wallet,Paid for online game credits.,0
TX00298,2025-02-24,CUST0298,21.31,Clothing,Bank Transfer,Paid for a keyword research tool.,0
TX00299,2025-03-17,CUST0152,10.17,Food,Bank Transfer,Booked a pottery class.,0
TX00300,2025-01-30,CUST0286,127.81,Food,Bank Transfer,Home mortgage payment submitted.,0
TX00301,2025-01-02,CUST0114,7.78,Education,Card,Paid for a business credit report.,0
TX00302,2025-02-14,CUST0057,195.17,Food,Bank Transfer,Picked up pet supplies at the local store.,0
TX00303,2025-01-17,CUST0250,52.66,Education,Bank Transfer,Paid for a cooking demonstration.,0
TX00304,2025-01-01,CUST0266,216.04,Electronics,Debit,Deposited tax refund check.,0
TX00305,2025-01-11,CUST0119,379.35,Utilities,Wallet,Ordered laundry detergent.,1
